"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on April 01, 2016","2016","04","01","00","00","Europe/Kiev","9:00 PM GMT on March 31, 2016","2016","03","31","21","00","UTC","12","53","6","43","59","10.8","6.7","","","260","West","20","12","1014","29.94","-999","-999","-9999","-9999","","","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","AAXX 31211 33345 42998 72603 10116 20061 39938 40139 51002 87070 555 11009"
"12:00 AM EEST on April 01, 2016","2016","04","01","00","00","Europe/Kiev","9:00 PM GMT on March 31, 2016","2016","03","31","21","00","UTC","11.0","51.8","6.0","42.8","71","10.8","6.7","-9999.0","-9999.0","250","WSW","10.0","6.2","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 312100Z 25003MPS 9999 -SHRA SCT030CB BKN071 11/06 Q1014 R26/CLRD70 NOSIG"
"12:30 AM EEST on April 01, 2016","2016","04","01","00","30","Europe/Kiev","9:30 PM GMT on March 31, 2016","2016","03","31","21","30","UTC","11.0","51.8","6.0","42.8","71","14.4","8.9","-9999.0","-9999.0","270","West","10.0","6.2","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 312130Z 27004MPS 9999 -SHRA SCT030CB BKN061 11/06 Q1014 R26/CLRD70 NOSIG"
"1:00 AM EEST on April 01, 2016","2016","04","01","01","00","Europe/Kiev","10:00 PM GMT on March 31, 2016","2016","03","31","22","00","UTC","10.0","50.0","7.0","44.6","82","10.8","6.7","-9999.0","-9999.0","230","SW","9.0","5.6","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 312200Z 23003MPS 200V270 9000 -SHRA SCT030CB BKN059 10/07 Q1013 R26/290255 NOSIG"
"1:30 AM EEST on April 01, 2016","2016","04","01","01","30","Europe/Kiev","10:30 PM GMT on March 31, 2016","2016","03","31","22","30","UTC","9.0","48.2","8.0","46.4","93","10.8","6.7","-9999.0","-9999.0","220","SW","10.0","6.2","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 312230Z 22003MPS 9999 FEW030CB BKN073 09/08 Q1013 R26/290255 NOSIG"
"2:00 AM EEST on April 01, 2016","2016","04","01","02","00","Europe/Kiev","11:00 PM GMT on March 31, 2016","2016","03","31","23","00","UTC","9.0","48.2","8.0","46.4","93","7.2","4.5","-9999.0","-9999.0","270","West","10.0","6.2","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 312300Z 27002MPS 9999 FEW030CB BKN070 09/08 Q1013 R26/290255 NOSIG"
"2:30 AM EEST on April 01, 2016","2016","04","01","02","30","Europe/Kiev","11:30 PM GMT on March 31, 2016","2016","03","31","23","30","UTC","9.0","48.2","8.0","46.4","93","7.2","4.5","-9999.0","-9999.0","240","WSW","9.0","5.6","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 312330Z 24002MPS 9000 -SHRA SCT021CB BKN062 09/08 Q1013 R26/290255 NOSIG"
"3:00 AM EEST on April 01, 2016","2016","04","01","03","00","Europe/Kiev","12:00 AM GMT on April 01, 2016","2016","04","01","00","00","UTC","10","49","7","45","80","3.7","2.3","","","290","WNW","10","6","1014","29.94","-999","-999","-9999","-9999","","","Light Rain","rain","0","1","0","0","0","0","AAXX 01004 33345 /1497 82902 10096 20071 39937 40139 58001 76161 8872/ 333 88714 555 11008 60011"
"3:00 AM EEST on April 01, 2016","2016","04","01","03","00","Europe/Kiev","12:00 AM GMT on April 01, 2016","2016","04","01","00","00","UTC","9.0","48.2","8.0","46.4","93","10.8","6.7","-9999.0","-9999.0","290","WNW","9.0","5.6","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 010000Z 29003MPS 9000 -SHRA SCT025CB BKN051 09/08 Q1013 R26/290255 NOSIG"
"3:30 AM EEST on April 01, 2016","2016","04","01","03","30","Europe/Kiev","12:30 AM GMT on April 01, 2016","2016","04","01","00","30","UTC","8.0","46.4","8.0","46.4","100","3.6","2.2","-9999.0","-9999.0","240","WSW","10.0","6.2","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 010030Z 24001MPS 9999 -SHRA SCT030CB BKN051 08/08 Q1013 R26/290255 NOSIG"
"4:00 AM EEST on April 01, 2016","2016","04","01","04","00","Europe/Kiev","1:00 AM GMT on April 01, 2016","2016","04","01","01","00","UTC","8.0","46.4","8.0","46.4","100","7.2","4.5","-9999.0","-9999.0","250","WSW","8.0","5.0","1013","29.92","6.9","44.4","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010100Z 25002MPS 8000 FEW033CB BKN049 08/08 Q1013 R26/290255 NOSIG"
"4:30 AM EEST on April 01, 2016","2016","04","01","04","30","Europe/Kiev","1:30 AM GMT on April 01, 2016","2016","04","01","01","30","UTC","8.0","46.4","8.0","46.4","100","10.8","6.7","-9999.0","-9999.0","280","West","9.0","5.6","1014","29.95","6.1","43.0","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 010130Z 28003MPS 9000 -SHRA SCT033CB BKN049 08/08 Q1014 R26/290255 NOSIG"
"5:00 AM EEST on April 01, 2016","2016","04","01","05","00","Europe/Kiev","2:00 AM GMT on April 01, 2016","2016","04","01","02","00","UTC","8.0","46.4","8.0","46.4","100","7.2","4.5","-9999.0","-9999.0","260","West","6.0","3.7","1013","29.92","6.9","44.4","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 010200Z 26002MPS 6000 -SHRA SCT026CB BKN041 08/08 Q1013 R26/290255 NOSIG"
"5:30 AM EEST on April 01, 2016","2016","04","01","05","30","Europe/Kiev","2:30 AM GMT on April 01, 2016","2016","04","01","02","30","UTC","8.0","46.4","8.0","46.4","100","7.2","4.5","-9999.0","-9999.0","220","SW","7.0","4.3","1013","29.92","6.9","44.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010230Z 22002MPS 7000 OVC046 08/08 Q1013 R26/290255 NOSIG"
"6:00 AM EEST on April 01, 2016","2016","04","01","06","00","Europe/Kiev","3:00 AM GMT on April 01, 2016","2016","04","01","03","00","UTC","9","48","7","45","87","0.0","0.0","","","","","4","2","1013","29.92","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01031 33345 41996 80000 10087 20074 39928 40130 57009 71062 8802/ 555 11008"
"6:00 AM EEST on April 01, 2016","2016","04","01","06","00","Europe/Kiev","3:00 AM GMT on April 01, 2016","2016","04","01","03","00","UTC","8.0","46.4","8.0","46.4","100","3.6","2.2","-9999.0","-9999.0","200","SSW","7.0","4.3","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010300Z 20001MPS 7000 OVC046 08/08 Q1012 R26/290255 NOSIG"
"6:30 AM EEST on April 01, 2016","2016","04","01","06","30","Europe/Kiev","3:30 AM GMT on April 01, 2016","2016","04","01","03","30","UTC","8.0","46.4","8.0","46.4","100","3.6","2.2","-9999.0","-9999.0","0","Variable","9.0","5.6","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Unknown","unknown","0","0","0","0","0","0","METAR UKKK 010330Z VRB01MPS 9000 NSC 08/08 Q1012 R26/290255 NOSIG"
"7:00 AM EEST on April 01, 2016","2016","04","01","07","00","Europe/Kiev","4:00 AM GMT on April 01, 2016","2016","04","01","04","00","UTC","8.0","46.4","7.0","44.6","93","3.6","2.2","-9999.0","-9999.0","290","WNW","5.0","3.1","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010400Z 29001MPS 5000 BR BKN046 08/07 Q1012 R26/290255 NOSIG"
"7:30 AM EEST on April 01, 2016","2016","04","01","07","30","Europe/Kiev","4:30 AM GMT on April 01, 2016","2016","04","01","04","30","UTC","7.0","44.6","7.0","44.6","100","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Mist","hazy","0","0","0","0","0","0","METAR UKKK 010430Z 00000MPS 4900 BR NSC 07/07 Q1012 R26/290255 NOSIG"
"8:00 AM EEST on April 01, 2016","2016","04","01","08","00","Europe/Kiev","5:00 AM GMT on April 01, 2016","2016","04","01","05","00","UTC","8.0","46.4","8.0","46.4","100","3.6","2.2","-9999.0","-9999.0","0","Variable","5.0","3.1","1011","29.86","-999","-999","-9999","-9999","-9999.00","-9999.00","Mist","hazy","0","0","0","0","0","0","METAR UKKK 010500Z VRB01MPS 5000 BR NSC 08/08 Q1011 R26/290255 NOSIG"
"8:30 AM EEST on April 01, 2016","2016","04","01","08","30","Europe/Kiev","5:30 AM GMT on April 01, 2016","2016","04","01","05","30","UTC","10.0","50.0","9.0","48.2","94","0.0","0.0","-9999.0","-9999.0","0","North","5.0","3.1","1011","29.86","-999","-999","-9999","-9999","-9999.00","-9999.00","Mist","hazy","0","0","0","0","0","0","METAR UKKK 010530Z 00000MPS 5000 BR NSC 10/09 Q1011 R26/290255 NOSIG"
"9:00 AM EEST on April 01, 2016","2016","04","01","09","00","Europe/Kiev","6:00 AM GMT on April 01, 2016","2016","04","01","06","00","UTC","10","49","8","47","90","3.6","2.2","","","140","SE","4","2","1011","29.87","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01061 33345 11996 71401 10097 20083 39913 40114 58015 60022 71062 86076 333 20082 555 11013"
"9:00 AM EEST on April 01, 2016","2016","04","01","09","00","Europe/Kiev","6:00 AM GMT on April 01, 2016","2016","04","01","06","00","UTC","10.0","50.0","8.0","46.4","87","7.2","4.5","-9999.0","-9999.0","110","ESE","-9999.0","-9999.0","1011","29.86","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010600Z 11002MPS 080V160 CAVOK 10/08 Q1011 R08/290058 NOSIG"
"9:30 AM EEST on April 01, 2016","2016","04","01","09","30","Europe/Kiev","6:30 AM GMT on April 01, 2016","2016","04","01","06","30","UTC","11.0","51.8","8.0","46.4","82","7.2","4.5","-9999.0","-9999.0","120","ESE","-9999.0","-9999.0","1011","29.86","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010630Z 12002MPS 060V180 CAVOK 11/08 Q1011 R08/290058 NOSIG"
"10:00 AM EEST on April 01, 2016","2016","04","01","10","00","Europe/Kiev","7:00 AM GMT on April 01, 2016","2016","04","01","07","00","UTC","11.0","51.8","7.0","44.6","76","10.8","6.7","-9999.0","-9999.0","130","SE","-9999.0","-9999.0","1010","29.83","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010700Z 13003MPS 100V190 CAVOK 11/07 Q1010 R08/290058 NOSIG"
"10:30 AM EEST on April 01, 2016","2016","04","01","10","30","Europe/Kiev","7:30 AM GMT on April 01, 2016","2016","04","01","07","30","UTC","12.0","53.6","7.0","44.6","72","14.4","8.9","-9999.0","-9999.0","130","SE","-9999.0","-9999.0","1010","29.83","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010730Z 13004MPS CAVOK 12/07 Q1010 R08/290058 NOSIG"
"11:00 AM EEST on April 01, 2016","2016","04","01","11","00","Europe/Kiev","8:00 AM GMT on April 01, 2016","2016","04","01","08","00","UTC","13.0","55.4","8.0","46.4","72","10.8","6.7","-9999.0","-9999.0","120","ESE","-9999.0","-9999.0","1009","29.80","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010800Z 12003MPS 090V170 CAVOK 13/08 Q1009 R08/190060 NOSIG"
"11:30 AM EEST on April 01, 2016","2016","04","01","11","30","Europe/Kiev","8:30 AM GMT on April 01, 2016","2016","04","01","08","30","UTC","14.0","57.2","8.0","46.4","67","7.2","4.5","-9999.0","-9999.0","150","SSE","-9999.0","-9999.0","1009","29.80","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010830Z 15002MPS 090V220 CAVOK 14/08 Q1009 R08/190060 NOSIG"
"12:00 PM EEST on April 01, 2016","2016","04","01","12","00","Europe/Kiev","9:00 AM GMT on April 01, 2016","2016","04","01","09","00","UTC","14","58","8","46","55","10.8","6.7","","","150","SSE","20","12","1009","29.79","-999","-999","-9999","-9999","","","Scattered Clouds","partlycloudy","0","0","0","0","0","0","AAXX 01091 33345 42998 61503 10142 20078 39889 40087 57024 82045 555 11024"
"12:00 PM EEST on April 01, 2016","2016","04","01","12","00","Europe/Kiev","9:00 AM GMT on April 01, 2016","2016","04","01","09","00","UTC","15.0","59.0","8.0","46.4","63","10.8","6.7","-9999.0","-9999.0","140","SE","-9999.0","-9999.0","1008","29.77","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010900Z 14003MPS 110V190 CAVOK 15/08 Q1008 R08/190060 NOSIG"
"12:30 PM EEST on April 01, 2016","2016","04","01","12","30","Europe/Kiev","9:30 AM GMT on April 01, 2016","2016","04","01","09","30","UTC","16.0","60.8","8.0","46.4","59","14.4","8.9","-9999.0","-9999.0","170","South","-9999.0","-9999.0","1008","29.77","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010930Z 17004MPS 110V250 CAVOK 16/08 Q1008 R08/CLRD70 NOSIG"
"1:00 PM EEST on April 01, 2016","2016","04","01","13","00","Europe/Kiev","10:00 AM GMT on April 01, 2016","2016","04","01","10","00","UTC","16.0","60.8","8.0","46.4","59","10.8","6.7","-9999.0","-9999.0","170","South","10.0","6.2","1007","29.74","-999","-999","-9999","-9999","-9999.00","-9999.00","Partly Cloudy","partlycloudy","0","0","0","0","0","0","METAR UKKK 011000Z 17003MPS 140V240 9999 FEW033 16/08 Q1007 R08/CLRD70 NOSIG"
