"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on August 01, 2016","2016","08","01","00","00","Europe/Kiev","9:00 PM GMT on July 31, 2016","2016","07","31","21","00","UTC","23","73","17","63","62","7.2","4.5","","","210","SSW","20","12","1014","29.96","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 31211 33345 42998 02102 10228 20171 39952 40144 52010 555 10021"
"12:00 AM EEST on August 01, 2016","2016","08","01","00","00","Europe/Kiev","9:00 PM GMT on July 31, 2016","2016","07","31","21","00","UTC","20.0","68.0","17.0","62.6","83","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312100Z VRB01MPS CAVOK 20/17 Q1015 R26/CLRD70 NOSIG"
"12:30 AM EEST on August 01, 2016","2016","08","01","00","30","Europe/Kiev","9:30 PM GMT on July 31, 2016","2016","07","31","21","30","UTC","20.0","68.0","17.0","62.6","83","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312130Z VRB01MPS CAVOK 20/17 Q1015 R08/CLRD70 NOSIG"
"1:00 AM EEST on August 01, 2016","2016","08","01","01","00","Europe/Kiev","10:00 PM GMT on July 31, 2016","2016","07","31","22","00","UTC","19.0","66.2","16.0","60.8","83","3.6","2.2","-9999.0","-9999.0","0","Variable","9.0","5.6","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312200Z VRB01MPS 9000 SKC 19/16 Q1015 R08/CLRD70 NOSIG"
"1:30 AM EEST on August 01, 2016","2016","08","01","01","30","Europe/Kiev","10:30 PM GMT on July 31, 2016","2016","07","31","22","30","UTC","19.0","66.2","17.0","62.6","88","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312230Z 00000MPS CAVOK 19/17 Q1014 R08/CLRD70 NOSIG"
"2:00 AM EEST on August 01, 2016","2016","08","01","02","00","Europe/Kiev","11:00 PM GMT on July 31, 2016","2016","07","31","23","00","UTC","19.0","66.2","17.0","62.6","88","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312300Z 00000MPS CAVOK 19/17 Q1014 R08/CLRD70 NOSIG"
"2:30 AM EEST on August 01, 2016","2016","08","01","02","30","Europe/Kiev","11:30 PM GMT on July 31, 2016","2016","07","31","23","30","UTC","18.0","64.4","16.0","60.8","88","3.6","2.2","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312330Z 10001MPS CAVOK 18/16 Q1014 R08/CLRD70 NOSIG"
"3:00 AM EEST on August 01, 2016","2016","08","01","03","00","Europe/Kiev","12:00 AM GMT on August 01, 2016","2016","08","01","00","00","UTC","21","69","17","63","75","7.2","4.5","","","190","South","10","6","1014","29.94","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01001 33345 32997 01902 10207 20171 39945 40139 58007 555 10020"
"3:00 AM EEST on August 01, 2016","2016","08","01","03","00","Europe/Kiev","12:00 AM GMT on August 01, 2016","2016","08","01","00","00","UTC","19.0","66.2","16.0","60.8","83","3.6","2.2","-9999.0","-9999.0","80","East","-9999.0","-9999.0","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 08001MPS CAVOK 19/16 Q1014 R08/CLRD70 NOSIG"
"3:30 AM EEST on August 01, 2016","2016","08","01","03","30","Europe/Kiev","12:30 AM GMT on August 01, 2016","2016","08","01","00","30","UTC","19.0","66.2","16.0","60.8","83","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1014","29.95","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z VRB01MPS CAVOK 19/16 Q1014 R08/CLRD70 NOSIG"
