"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EET on December 01, 2016","2016","12","01","00","00","Europe/Kiev","10:00 PM GMT on November 30, 2016","2016","11","30","22","00","UTC","-2.0","28.4","-3.0","26.6","93","14.4","8.9","-9999.0","-9999.0","230","SW","4.5","2.8","1013","29.92","-6.7","19.9","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 302200Z 23004MPS 4500 -SN SCT010 OVC016 M02/M03 Q1013 R26/490150 TEMPO 2000 -SHSN BR SCT015CB"
"12:30 AM EET on December 01, 2016","2016","12","01","00","30","Europe/Kiev","10:30 PM GMT on November 30, 2016","2016","11","30","22","30","UTC","-1.0","30.2","-3.0","26.6","86","14.4","8.9","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1012","29.89","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow Showers","snow","0","0","1","0","0","0","METAR UKKK 302230Z 24004MPS 4200 -SHSN FEW007 SCT018CB OVC021 M01/M03 Q1012 RESHSN R26/490150 TEMPO 2000 -SHSN BR SCT015CB"
"1:00 AM EET on December 01, 2016","2016","12","01","01","00","Europe/Kiev","11:00 PM GMT on November 30, 2016","2016","11","30","23","00","UTC","-1.0","30.2","-3.0","26.6","86","14.4","8.9","-9999.0","-9999.0","240","WSW","8.0","5.0","1012","29.89","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 302300Z 24004MPS 8000 -SN SCT010 OVC019 M01/M03 Q1012 R26/490150 TEMPO 2000 -SHSN BR SCT015CB"
"1:30 AM EET on December 01, 2016","2016","12","01","01","30","Europe/Kiev","11:30 PM GMT on November 30, 2016","2016","11","30","23","30","UTC","-1.0","30.2","-3.0","26.6","86","14.4","8.9","-9999.0","-9999.0","240","WSW","9.0","5.6","1012","29.89","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 302330Z 24004MPS 9000 -SN OVC020 M01/M03 Q1012 R26/490150 TEMPO 2000 -SHSN BR SCT015CB"
"1:42 AM EET on December 01, 2016","2016","12","01","01","42","Europe/Kiev","11:42 PM GMT on November 30, 2016","2016","11","30","23","42","UTC","-1.0","30.2","-3.0","26.6","86","14.4","8.9","-9999.0","-9999.0","240","WSW","1.7","1.1","1012","29.89","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Snow Showers","snow","0","0","1","0","0","0","SPECI UKKK 302342Z 24004MPS 1700 R26/P2000D SHSN SCT011CB OVC022 M01/M03 Q1012 R26/490150 TEMPO 2000 -SHSN BR SCT015CB"
"2:00 AM EET on December 01, 2016","2016","12","01","02","00","Europe/Kiev","12:00 AM GMT on December 01, 2016","2016","12","01","00","00","UTC","-1","30","-2","28","89","10.8","6.7","","","250","WSW","4","2","1013","29.92","-999","-999","-9999","-9999","","","Light Snow","snow","0","0","1","0","0","0","AAXX 01001 33345 /1496 82503 11012 21022 39921 40131 57018 77172 8872/ 333 88712 555 1/102 69941"
"2:00 AM EET on December 01, 2016","2016","12","01","02","00","Europe/Kiev","12:00 AM GMT on December 01, 2016","2016","12","01","00","00","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","240","WSW","2.7","1.7","1011","29.86","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow Showers","snow","0","0","1","0","0","0","METAR UKKK 010000Z 24004MPS 2700 -SHSN SCT007 BKN016CB OVC027 M01/M02 Q1011 RESHSN R26/490150 TEMPO 1000 SHSN SCT015CB"
"2:30 AM EET on December 01, 2016","2016","12","01","02","30","Europe/Kiev","12:30 AM GMT on December 01, 2016","2016","12","01","00","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","240","WSW","2.2","1.4","1011","29.86","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow Showers","snow","0","0","1","0","0","0","METAR UKKK 010030Z 24004MPS 2200 -SHSN SCT008 BKN017CB OVC022 M01/M02 Q1011 R26/490150 TEMPO 1000 SHSN BKN007 SCT015CB"
"3:00 AM EET on December 01, 2016","2016","12","01","03","00","Europe/Kiev","1:00 AM GMT on December 01, 2016","2016","12","01","01","00","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","250","WSW","1.9","1.2","1011","29.86","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Snow Showers","snow","0","0","1","0","0","0","METAR UKKK 010100Z 25004MPS 1900 SHSN SCT007 BKN021CB OVC026 M01/M02 Q1011 R26/590340 TEMPO 1000 SHSN BKN007 SCT015CB"
"3:20 AM EET on December 01, 2016","2016","12","01","03","20","Europe/Kiev","1:20 AM GMT on December 01, 2016","2016","12","01","01","20","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","250","WSW","1.9","1.2","1011","29.86","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Snow Showers","snow","0","0","1","0","0","0","SPECI UKKK 010120Z 25003MPS 1900 R26/P2000D SHSN SCT005 BKN021CB OVC026 M01/M02 Q1011 R26/590340 TEMPO 1000 SHSN BR BKN005 SCT015CB"
"3:30 AM EET on December 01, 2016","2016","12","01","03","30","Europe/Kiev","1:30 AM GMT on December 01, 2016","2016","12","01","01","30","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1011","29.86","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010130Z 24003MPS 3100 -SN SCT005 OVC010 M01/M02 Q1011 R26/590340 TEMPO 1000 SHSN BR BKN005 SCT015CB"
"4:00 AM EET on December 01, 2016","2016","12","01","04","00","Europe/Kiev","2:00 AM GMT on December 01, 2016","2016","12","01","02","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1011","29.86","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010200Z 25003MPS 4700 -SN BKN005 OVC011 M01/M02 Q1011 R26/590340 TEMPO 1000 SHSN BR BKN005 SCT015CB"
"4:30 AM EET on December 01, 2016","2016","12","01","04","30","Europe/Kiev","2:30 AM GMT on December 01, 2016","2016","12","01","02","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","250","WSW","8.0","5.0","1011","29.86","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010230Z 25004MPS 8000 BKN005 OVC020 M01/M02 Q1011 R26/590340 TEMPO BKN004"
"5:00 AM EET on December 01, 2016","2016","12","01","05","00","Europe/Kiev","3:00 AM GMT on December 01, 2016","2016","12","01","03","00","UTC","-1","30","-2","29","92","10.8","6.7","","","280","West","4","2","1012","29.89","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01031 33345 41396 82803 11012 21019 39911 40121 57010 71072 887// 333 88708 555 1/101"
