"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EET on February 01, 2016","2016","02","01","00","00","Europe/Kiev","10:00 PM GMT on January 31, 2016","2016","01","31","22","00","UTC","1.0","33.8","-1.0","30.2","87","21.6","13.4","-9999.0","-9999.0","270","West","-9999.0","-9999.0","1007","29.74","-4.2","24.5","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312200Z 27006MPS CAVOK 01/M01 Q1007 26290350 NOSIG"
"12:30 AM EET on February 01, 2016","2016","02","01","00","30","Europe/Kiev","10:30 PM GMT on January 31, 2016","2016","01","31","22","30","UTC","1.0","33.8","-1.0","30.2","87","18.0","11.2","-9999.0","-9999.0","260","West","10.0","6.2","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 312230Z 26005MPS 9999 FEW019 BKN071 01/M01 Q1007 26290350 NOSIG"
"1:00 AM EET on February 01, 2016","2016","02","01","01","00","Europe/Kiev","11:00 PM GMT on January 31, 2016","2016","01","31","23","00","UTC","1.0","33.8","-1.0","30.2","87","18.0","11.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312300Z 26005MPS CAVOK 01/M01 Q1007 26290350 NOSIG"
"1:30 AM EET on February 01, 2016","2016","02","01","01","30","Europe/Kiev","11:30 PM GMT on January 31, 2016","2016","01","31","23","30","UTC","1.0","33.8","-1.0","30.2","87","18.0","11.2","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312330Z 25005MPS CAVOK 01/M01 Q1007 26290350 NOSIG"
"2:00 AM EET on February 01, 2016","2016","02","01","02","00","Europe/Kiev","12:00 AM GMT on February 01, 2016","2016","02","01","00","00","UTC","1","34","-2","29","76","14.4","8.9","","","250","WSW","20","12","1008","29.78","-999","-999","-9999","-9999","","","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","AAXX 01001 33345 32998 72504 10013 21015 39877 40084 51004 87070 555 1/000"
"2:00 AM EET on February 01, 2016","2016","02","01","02","00","Europe/Kiev","12:00 AM GMT on February 01, 2016","2016","02","01","00","00","UTC","1.0","33.8","-1.0","30.2","87","18.0","11.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 26005MPS CAVOK 01/M01 Q1007 26290350 NOSIG"
"2:30 AM EET on February 01, 2016","2016","02","01","02","30","Europe/Kiev","12:30 AM GMT on February 01, 2016","2016","02","01","00","30","UTC","1.0","33.8","-1.0","30.2","87","18.0","11.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z 26005MPS CAVOK 01/M01 Q1007 26290350 NOSIG"
"3:00 AM EET on February 01, 2016","2016","02","01","03","00","Europe/Kiev","1:00 AM GMT on February 01, 2016","2016","02","01","01","00","UTC","1.0","33.8","-2.0","28.4","81","18.0","11.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010100Z 26005MPS CAVOK 01/M02 Q1007 26290350 NOSIG"
"3:30 AM EET on February 01, 2016","2016","02","01","03","30","Europe/Kiev","1:30 AM GMT on February 01, 2016","2016","02","01","01","30","UTC","1.0","33.8","-2.0","28.4","81","18.0","11.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.7","25.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010130Z 26005MPS CAVOK 01/M02 Q1007 26290350 NOSIG"
"4:00 AM EET on February 01, 2016","2016","02","01","04","00","Europe/Kiev","2:00 AM GMT on February 01, 2016","2016","02","01","02","00","UTC","1.0","33.8","-2.0","28.4","81","14.4","8.9","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1007","29.74","-3.0","26.5","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010200Z 25004MPS CAVOK 01/M02 Q1007 26290350 NOSIG"
"4:30 AM EET on February 01, 2016","2016","02","01","04","30","Europe/Kiev","2:30 AM GMT on February 01, 2016","2016","02","01","02","30","UTC","1.0","33.8","-2.0","28.4","81","14.4","8.9","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.0","26.5","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010230Z 26004MPS CAVOK 01/M02 Q1007 26290350 NOSIG"
"5:00 AM EET on February 01, 2016","2016","02","01","05","00","Europe/Kiev","3:00 AM GMT on February 01, 2016","2016","02","01","03","00","UTC","1","34","-2","28","72","10.8","6.7","","","260","West","20","12","1008","29.78","-999","-999","-9999","-9999","","","Overcast","cloudy","0","0","0","0","0","0","AAXX 01031 33345 42998 82603 10012 21020 39877 40084 54000 8802/ 555 1/000"
"5:00 AM EET on February 01, 2016","2016","02","01","05","00","Europe/Kiev","3:00 AM GMT on February 01, 2016","2016","02","01","03","00","UTC","1.0","33.8","-2.0","28.4","81","14.4","8.9","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1007","29.74","-3.0","26.5","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010300Z 26004MPS CAVOK 01/M02 Q1007 26290350 NOSIG"
