"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EET on January 01, 2016","2016","01","01","00","00","Europe/Kiev","10:00 PM GMT on December 31, 2015","2015","12","31","22","00","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","330","NNW","5.0","3.1","1028","30.36","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312200Z 33002MPS 300V010 5000 -SN SCT013 OVC025 M10/M12 Q1028 26490340 NOSIG"
"12:30 AM EET on January 01, 2016","2016","01","01","00","30","Europe/Kiev","10:30 PM GMT on December 31, 2015","2015","12","31","22","30","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","330","NNW","6.0","3.7","1027","30.33","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312230Z 33002MPS 300V010 6000 -SN SCT013 OVC025 M10/M12 Q1027 26490340 NOSIG"
"1:00 AM EET on January 01, 2016","2016","01","01","01","00","Europe/Kiev","11:00 PM GMT on December 31, 2015","2015","12","31","23","00","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","330","NNW","-9999.0","-9999.0","1027","30.33","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312300Z 33002MPS 3900 -SN SCT013 OVC025 M10/M12 Q1027 26490340 NOSIG"
"1:30 AM EET on January 01, 2016","2016","01","01","01","30","Europe/Kiev","11:30 PM GMT on December 31, 2015","2015","12","31","23","30","UTC","-10.0","14.0","-12.0","10.4","86","10.8","6.7","-9999.0","-9999.0","320","NW","6.0","3.7","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312330Z 32003MPS 6000 -SN SCT013 OVC025 M10/M12 Q1027 26490340 NOSIG"
"2:00 AM EET on January 01, 2016","2016","01","01","02","00","Europe/Kiev","12:00 AM GMT on January 01, 2016","2016","01","01","00","00","UTC","-9","15","-11","12","83","10.8","6.7","","","340","NNW","4","2","1029","30.40","-999","-999","-9999","-9999","","","Light Snow","snow","0","0","1","0","0","0","AAXX 01001 33345 /1496 83403 11094 21110 30072 40292 57011 77172 8872/ 333 88711 555 1/105 69921"
"2:00 AM EET on January 01, 2016","2016","01","01","02","00","Europe/Kiev","12:00 AM GMT on January 01, 2016","2016","01","01","00","00","UTC","-10.0","14.0","-12.0","10.4","86","10.8","6.7","-9999.0","-9999.0","320","NW","-9999.0","-9999.0","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010000Z 32003MPS 3400 -SN SCT015 OVC030 M10/M12 Q1027 26490340 NOSIG"
"2:30 AM EET on January 01, 2016","2016","01","01","02","30","Europe/Kiev","12:30 AM GMT on January 01, 2016","2016","01","01","00","30","UTC","-10.0","14.0","-12.0","10.4","86","10.8","6.7","-9999.0","-9999.0","330","NNW","-9999.0","-9999.0","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010030Z 33003MPS 3200 -SN SCT015 OVC030 M10/M12 Q1027 26490340 NOSIG"
"3:00 AM EET on January 01, 2016","2016","01","01","03","00","Europe/Kiev","1:00 AM GMT on January 01, 2016","2016","01","01","01","00","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","330","NNW","2.4","1.5","1027","30.33","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010100Z 33002MPS 310V020 2400 -SN BR SCT015 OVC030 M10/M12 Q1027 26490340 NOSIG"
"3:30 AM EET on January 01, 2016","2016","01","01","03","30","Europe/Kiev","1:30 AM GMT on January 01, 2016","2016","01","01","01","30","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","340","NNW","2.7","1.7","1027","30.33","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010130Z 34002MPS 310V010 2700 -SN BR SCT015 OVC030 M10/M12 Q1027 26490340 NOSIG"
"4:00 AM EET on January 01, 2016","2016","01","01","04","00","Europe/Kiev","2:00 AM GMT on January 01, 2016","2016","01","01","02","00","UTC","-10.0","14.0","-12.0","10.4","86","7.2","4.5","-9999.0","-9999.0","350","North","2.0","1.2","1027","30.33","-14.1","6.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010200Z 35002MPS 2000 -SN BR SCT010 OVC030 M10/M12 Q1027 26490340 TEMPO 1500 -SN BR"
