"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on July 01, 2016","2016","07","01","00","00","Europe/Kiev","9:00 PM GMT on June 30, 2016","2016","06","30","21","00","UTC","23","74","18","65","67","0.0","0.0","","","","","20","12","1014","29.96","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 30211 33345 42998 00000 10233 20184 39951 40143 52007 555 10022"
"12:00 AM EEST on July 01, 2016","2016","07","01","00","00","Europe/Kiev","9:00 PM GMT on June 30, 2016","2016","06","30","21","00","UTC","20.0","68.0","19.0","66.2","94","3.6","2.2","-9999.0","-9999.0","0","Variable","9.0","5.6","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302100Z VRB01MPS 9000 SKC 20/19 Q1015 R08/CLRD70 NOSIG"
"12:30 AM EEST on July 01, 2016","2016","07","01","00","30","Europe/Kiev","9:30 PM GMT on June 30, 2016","2016","06","30","21","30","UTC","21.0","69.8","19.0","66.2","88","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302130Z 00000MPS CAVOK 21/19 Q1015 R08/CLRD70 NOSIG"
"1:00 AM EEST on July 01, 2016","2016","07","01","01","00","Europe/Kiev","10:00 PM GMT on June 30, 2016","2016","06","30","22","00","UTC","22.0","71.6","18.0","64.4","78","7.2","4.5","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302200Z 25002MPS CAVOK 22/18 Q1015 R08/CLRD70 NOSIG"
"1:30 AM EEST on July 01, 2016","2016","07","01","01","30","Europe/Kiev","10:30 PM GMT on June 30, 2016","2016","06","30","22","30","UTC","21.0","69.8","18.0","64.4","83","3.6","2.2","-9999.0","-9999.0","270","West","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302230Z 27001MPS CAVOK 21/18 Q1015 R08/CLRD70 NOSIG"
"2:00 AM EEST on July 01, 2016","2016","07","01","02","00","Europe/Kiev","11:00 PM GMT on June 30, 2016","2016","06","30","23","00","UTC","20.0","68.0","18.0","64.4","88","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302300Z VRB01MPS CAVOK 20/18 Q1015 R08/CLRD70 NOSIG"
"2:30 AM EEST on July 01, 2016","2016","07","01","02","30","Europe/Kiev","11:30 PM GMT on June 30, 2016","2016","06","30","23","30","UTC","20.0","68.0","19.0","66.2","94","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302330Z VRB01MPS CAVOK 20/19 Q1015 R08/CLRD70 NOSIG"
"3:00 AM EEST on July 01, 2016","2016","07","01","03","00","Europe/Kiev","12:00 AM GMT on July 01, 2016","2016","07","01","00","00","UTC","22","71","19","65","78","0.0","0.0","","","","","20","12","1015","29.97","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01001 33345 32998 00000 10216 20186 39954 40147 52003 555 10020"
"3:00 AM EEST on July 01, 2016","2016","07","01","03","00","Europe/Kiev","12:00 AM GMT on July 01, 2016","2016","07","01","00","00","UTC","20.0","68.0","18.0","64.4","88","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z VRB01MPS CAVOK 20/18 Q1015 R08/CLRD70 NOSIG"
"3:30 AM EEST on July 01, 2016","2016","07","01","03","30","Europe/Kiev","12:30 AM GMT on July 01, 2016","2016","07","01","00","30","UTC","19.0","66.2","18.0","64.4","94","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1015","29.98","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z 00000MPS CAVOK 19/18 Q1015 R08/CLRD70 NOSIG"
