"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on June 01, 2016","2016","06","01","00","00","Europe/Kiev","9:00 PM GMT on May 31, 2016","2016","05","31","21","00","UTC","19","66","17","63","88","7.2","4.5","","","60","ENE","10","6","1012","29.90","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 31211 33345 42997 00602 10189 20174 39928 40123 52007 555 11018"
"12:00 AM EEST on June 01, 2016","2016","06","01","00","00","Europe/Kiev","9:00 PM GMT on May 31, 2016","2016","05","31","21","00","UTC","19.0","66.2","18.0","64.4","94","10.8","6.7","-9999.0","-9999.0","70","ENE","-9999.0","-9999.0","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312100Z 07003MPS 040V100 CAVOK 19/18 Q1012 R08/190060 NOSIG"
"12:30 AM EEST on June 01, 2016","2016","06","01","00","30","Europe/Kiev","9:30 PM GMT on May 31, 2016","2016","05","31","21","30","UTC","19.0","66.2","18.0","64.4","94","14.4","8.9","-9999.0","-9999.0","60","ENE","-9999.0","-9999.0","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312130Z 06004MPS CAVOK 19/18 Q1012 R08/190060 NOSIG"
"1:00 AM EEST on June 01, 2016","2016","06","01","01","00","Europe/Kiev","10:00 PM GMT on May 31, 2016","2016","05","31","22","00","UTC","19.0","66.2","18.0","64.4","94","18.0","11.2","-9999.0","-9999.0","70","ENE","-9999.0","-9999.0","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312200Z 07005MPS CAVOK 19/18 Q1012 R08/190060 NOSIG"
"1:30 AM EEST on June 01, 2016","2016","06","01","01","30","Europe/Kiev","10:30 PM GMT on May 31, 2016","2016","05","31","22","30","UTC","18.0","64.4","18.0","64.4","100","14.4","8.9","-9999.0","-9999.0","80","East","-9999.0","-9999.0","1012","29.89","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312230Z 08004MPS CAVOK 18/18 Q1012 R08/190060 NOSIG"
"2:00 AM EEST on June 01, 2016","2016","06","01","02","00","Europe/Kiev","11:00 PM GMT on May 31, 2016","2016","05","31","23","00","UTC","18.0","64.4","18.0","64.4","100","14.4","8.9","-9999.0","-9999.0","70","ENE","-9999.0","-9999.0","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312300Z 07004MPS CAVOK 18/18 Q1013 R08/190060 NOSIG"
"2:30 AM EEST on June 01, 2016","2016","06","01","02","30","Europe/Kiev","11:30 PM GMT on May 31, 2016","2016","05","31","23","30","UTC","18.0","64.4","17.0","62.6","94","14.4","8.9","-9999.0","-9999.0","60","ENE","-9999.0","-9999.0","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312330Z 06004MPS CAVOK 18/17 Q1013 R08/190060 NOSIG"
"3:00 AM EEST on June 01, 2016","2016","06","01","03","00","Europe/Kiev","12:00 AM GMT on June 01, 2016","2016","06","01","00","00","UTC","18","64","16","62","89","3.6","2.2","","","60","ENE","10","6","1013","29.92","-999","-999","-9999","-9999","","","Scattered Clouds","partlycloudy","0","0","0","0","0","0","AAXX 01001 33345 32497 20601 10176 20164 39936 40132 52008 82600 555 11017"
"3:00 AM EEST on June 01, 2016","2016","06","01","03","00","Europe/Kiev","12:00 AM GMT on June 01, 2016","2016","06","01","00","00","UTC","18.0","64.4","17.0","62.6","94","14.4","8.9","-9999.0","-9999.0","70","ENE","-9999.0","-9999.0","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 07004MPS CAVOK 18/17 Q1013 R08/190060 NOSIG"
"3:30 AM EEST on June 01, 2016","2016","06","01","03","30","Europe/Kiev","12:30 AM GMT on June 01, 2016","2016","06","01","00","30","UTC","18.0","64.4","17.0","62.6","94","14.4","8.9","-9999.0","-9999.0","90","East","10.0","6.2","1013","29.92","-999","-999","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010030Z 09004MPS 9999 FEW011 BKN029 18/17 Q1013 R08/190060 NOSIG"
