"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EET on March 01, 2016","2016","03","01","00","00","Europe/Kiev","10:00 PM GMT on February 29, 2016","2016","02","29","22","00","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","120","ESE","2.4","1.5","1020","30.12","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 292200Z 12004MPS 090V150 2400 BR OVC003 06/06 Q1020 R08/290155 TEMPO 1400 BR OVC002"
"12:30 AM EET on March 01, 2016","2016","03","01","00","30","Europe/Kiev","10:30 PM GMT on February 29, 2016","2016","02","29","22","30","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","110","ESE","2.5","1.6","1020","30.12","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 292230Z 11004MPS 080V140 2500 BR OVC003 06/06 Q1020 R08/290155 TEMPO 1400 BR OVC002"
"1:00 AM EET on March 01, 2016","2016","03","01","01","00","Europe/Kiev","11:00 PM GMT on February 29, 2016","2016","02","29","23","00","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","120","ESE","2.1","1.3","1020","30.12","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 292300Z 12004MPS 070V160 2100 BR OVC003 06/06 Q1020 R08/290155 TEMPO 1400 BR OVC002"
"1:30 AM EET on March 01, 2016","2016","03","01","01","30","Europe/Kiev","11:30 PM GMT on February 29, 2016","2016","02","29","23","30","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","110","ESE","2.9","1.8","1020","30.12","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 292330Z 11004MPS 2900 BR OVC004 06/06 Q1020 R08/290155 TEMPO 2000 BR OVC002"
"2:00 AM EET on March 01, 2016","2016","03","01","02","00","Europe/Kiev","12:00 AM GMT on March 01, 2016","2016","03","01","00","00","UTC","5","41","5","40","97","7.2","4.5","","","140","SE","2","1","1021","30.15","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01001 33345 /1295 81402 10052 20047 30002 40208 57013 71054 886// 333 88706 555 11004 69941"
"2:00 AM EET on March 01, 2016","2016","03","01","02","00","Europe/Kiev","12:00 AM GMT on March 01, 2016","2016","03","01","00","00","UTC","6.0","42.8","5.0","41.0","93","10.8","6.7","-9999.0","-9999.0","120","ESE","2.6","1.6","1020","30.12","3.7","38.7","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010000Z 12003MPS 090V150 2600 BR OVC004 06/05 Q1020 R08/290155 TEMPO 2000 BR OVC002"
"2:30 AM EET on March 01, 2016","2016","03","01","02","30","Europe/Kiev","12:30 AM GMT on March 01, 2016","2016","03","01","00","30","UTC","5.0","41.0","5.0","41.0","100","14.4","8.9","-9999.0","-9999.0","100","East","2.3","1.4","1019","30.09","1.9","35.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010030Z 10004MPS 2300 BR OVC004 05/05 Q1019 R08/290155 TEMPO 2000 BR OVC002"
"3:00 AM EET on March 01, 2016","2016","03","01","03","00","Europe/Kiev","1:00 AM GMT on March 01, 2016","2016","03","01","01","00","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","100","East","1.4","0.9","1018","30.06","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010100Z 10005MPS 080V140 1400 R08/P2000N BR OVC003 05/05 Q1018 R08/290155 TEMPO 1000 BR OVC001"
"3:30 AM EET on March 01, 2016","2016","03","01","03","30","Europe/Kiev","1:30 AM GMT on March 01, 2016","2016","03","01","01","30","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","110","ESE","1.0","0.6","1018","30.06","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010130Z 11005MPS 1000 R08/P2000D BR OVC002 05/05 Q1018 R08/290155 TEMPO 1000 BR OVC001"
"4:00 AM EET on March 01, 2016","2016","03","01","04","00","Europe/Kiev","2:00 AM GMT on March 01, 2016","2016","03","01","02","00","UTC","4.0","39.2","4.0","39.2","100","18.0","11.2","-9999.0","-9999.0","130","SE","-9999.0","-9999.0","1018","30.06","0.1","32.2","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010200Z 13005MPS 0750 R08/P2000D PRFG OVC001 04/04 Q1018 R08/290155 TEMPO 0400 FG VV001"
