"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on May 01, 2016","2016","05","01","00","00","Europe/Kiev","9:00 PM GMT on April 30, 2016","2016","04","30","21","00","UTC","13","56","5","41","47","7.2","4.5","","","70","ENE","20","12","1022","30.18","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 30211 33345 42998 00702 10131 20052 30019 40220 52003 555 10010"
"12:00 AM EEST on May 01, 2016","2016","05","01","00","00","Europe/Kiev","9:00 PM GMT on April 30, 2016","2016","04","30","21","00","UTC","11.0","51.8","5.0","41.0","67","10.8","6.7","-9999.0","-9999.0","90","East","-9999.0","-9999.0","1021","30.15","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302100Z 09003MPS CAVOK 11/05 Q1021 R08/CLRD70 NOSIG"
"12:30 AM EEST on May 01, 2016","2016","05","01","00","30","Europe/Kiev","9:30 PM GMT on April 30, 2016","2016","04","30","21","30","UTC","11.0","51.8","5.0","41.0","67","10.8","6.7","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302130Z 10003MPS CAVOK 11/05 Q1022 R08/CLRD70 NOSIG"
"1:00 AM EEST on May 01, 2016","2016","05","01","01","00","Europe/Kiev","10:00 PM GMT on April 30, 2016","2016","04","30","22","00","UTC","12.0","53.6","5.0","41.0","62","14.4","8.9","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302200Z 10004MPS CAVOK 12/05 Q1022 R08/CLRD70 NOSIG"
"1:30 AM EEST on May 01, 2016","2016","05","01","01","30","Europe/Kiev","10:30 PM GMT on April 30, 2016","2016","04","30","22","30","UTC","11.0","51.8","6.0","42.8","71","10.8","6.7","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302230Z 10003MPS CAVOK 11/06 Q1022 R08/CLRD70 NOSIG"
"2:00 AM EEST on May 01, 2016","2016","05","01","02","00","Europe/Kiev","11:00 PM GMT on April 30, 2016","2016","04","30","23","00","UTC","10.0","50.0","6.0","42.8","76","10.8","6.7","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302300Z 10003MPS CAVOK 10/06 Q1022 R08/CLRD70 NOSIG"
"2:30 AM EEST on May 01, 2016","2016","05","01","02","30","Europe/Kiev","11:30 PM GMT on April 30, 2016","2016","04","30","23","30","UTC","9.0","48.2","6.0","42.8","82","10.8","6.7","-9999.0","-9999.0","100","East","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302330Z 10003MPS CAVOK 09/06 Q1022 R08/CLRD70 NOSIG"
"3:00 AM EEST on May 01, 2016","2016","05","01","03","00","Europe/Kiev","12:00 AM GMT on May 01, 2016","2016","05","01","00","00","UTC","10","50","6","42","66","0.0","0.0","","","","","20","12","1023","30.21","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01001 33345 32998 00000 10098 20056 30024 40228 52005 555 10008"
"3:00 AM EEST on May 01, 2016","2016","05","01","03","00","Europe/Kiev","12:00 AM GMT on May 01, 2016","2016","05","01","00","00","UTC","8.0","46.4","5.0","41.0","81","7.2","4.5","-9999.0","-9999.0","90","East","-9999.0","-9999.0","1022","30.18","6.9","44.4","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 09002MPS CAVOK 08/05 Q1022 R08/CLRD70 NOSIG"
"3:30 AM EEST on May 01, 2016","2016","05","01","03","30","Europe/Kiev","12:30 AM GMT on May 01, 2016","2016","05","01","00","30","UTC","9.0","48.2","5.0","41.0","76","7.2","4.5","-9999.0","-9999.0","110","ESE","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z 11002MPS CAVOK 09/05 Q1022 R08/CLRD70 NOSIG"
