"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EET on November 01, 2016","2016","11","01","00","00","Europe/Kiev","10:00 PM GMT on October 31, 2016","2016","10","31","22","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","340","NNW","10.0","6.2","1017","30.04","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 312200Z 34003MPS 9999 FEW010 BKN053 M01/M02 Q1017 R26/290058 NOSIG"
"12:30 AM EET on November 01, 2016","2016","11","01","00","30","Europe/Kiev","10:30 PM GMT on October 31, 2016","2016","10","31","22","30","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","340","NNW","10.0","6.2","1017","30.04","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312230Z 34003MPS 9999 -SN FEW010 OVC048 M01/M02 Q1017 R26/290058 NOSIG"
"1:00 AM EET on November 01, 2016","2016","11","01","01","00","Europe/Kiev","11:00 PM GMT on October 31, 2016","2016","10","31","23","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","350","North","9.0","5.6","1017","30.04","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312300Z 35003MPS 310V020 9000 -SN FEW009 OVC033 M01/M02 Q1017 R26/290058 NOSIG"
"1:30 AM EET on November 01, 2016","2016","11","01","01","30","Europe/Kiev","11:30 PM GMT on October 31, 2016","2016","10","31","23","30","UTC","-1.0","30.2","-2.0","28.4","93","7.2","4.5","-9999.0","-9999.0","340","NNW","6.0","3.7","1017","30.04","-3.6","25.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 312330Z 34002MPS 6000 -SN FEW009 OVC034 M01/M02 Q1017 R26/290058 NOSIG"
"2:00 AM EET on November 01, 2016","2016","11","01","02","00","Europe/Kiev","12:00 AM GMT on November 01, 2016","2016","11","01","00","00","UTC","-1","31","-2","28","84","7.2","4.5","","","0","North","4","2","1019","30.09","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01001 33345 31496 73602 11007 21022 39977 40188 52004 71011 87500 333 87615 555 11100"
"2:00 AM EET on November 01, 2016","2016","11","01","02","00","Europe/Kiev","12:00 AM GMT on November 01, 2016","2016","11","01","00","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","340","NNW","10.0","6.2","1017","30.04","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010000Z 34003MPS 9999 SCT008 OVC033 M01/M02 Q1017 R26/290058 NOSIG"
"2:30 AM EET on November 01, 2016","2016","11","01","02","30","Europe/Kiev","12:30 AM GMT on November 01, 2016","2016","11","01","00","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","340","NNW","10.0","6.2","1017","30.04","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010030Z 34004MPS 9999 -SN FEW008 OVC033 M01/M02 Q1017 R26/290058 NOSIG"
"3:00 AM EET on November 01, 2016","2016","11","01","03","00","Europe/Kiev","1:00 AM GMT on November 01, 2016","2016","11","01","01","00","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","340","NNW","10.0","6.2","1018","30.06","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010100Z 34004MPS 9999 FEW007 BKN052 M01/M02 Q1018 R26/290058 NOSIG"
"3:30 AM EET on November 01, 2016","2016","11","01","03","30","Europe/Kiev","1:30 AM GMT on November 01, 2016","2016","11","01","01","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","340","NNW","10.0","6.2","1018","30.06","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010130Z 34004MPS 9999 FEW007 BKN052 M01/M02 Q1018 R26/290058 NOSIG"
"4:00 AM EET on November 01, 2016","2016","11","01","04","00","Europe/Kiev","2:00 AM GMT on November 01, 2016","2016","11","01","02","00","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","340","NNW","10.0","6.2","1018","30.06","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010200Z 34004MPS 9999 FEW017 BKN024 M01/M02 Q1018 R26/290058 NOSIG"
"4:30 AM EET on November 01, 2016","2016","11","01","04","30","Europe/Kiev","2:30 AM GMT on November 01, 2016","2016","11","01","02","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","330","NNW","10.0","6.2","1019","30.09","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010230Z 33004MPS 9999 FEW007 BKN046 M01/M02 Q1019 R26/290058 NOSIG"
"5:00 AM EET on November 01, 2016","2016","11","01","05","00","Europe/Kiev","3:00 AM GMT on November 01, 2016","2016","11","01","03","00","UTC","-1","31","-2","28","83","7.2","4.5","","","350","North","4","2","1020","30.12","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01031 33345 41496 83502 11008 21023 39989 40200 52012 71022 886// 333 88710 555 11100"
"5:00 AM EET on November 01, 2016","2016","11","01","05","00","Europe/Kiev","3:00 AM GMT on November 01, 2016","2016","11","01","03","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","330","NNW","10.0","6.2","1019","30.09","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Mostly Cloudy","mostlycloudy","0","0","0","0","0","0","METAR UKKK 010300Z 33003MPS 9999 SCT006 BKN046 M01/M02 Q1019 R26/290058 NOSIG"
"5:30 AM EET on November 01, 2016","2016","11","01","05","30","Europe/Kiev","3:30 AM GMT on November 01, 2016","2016","11","01","03","30","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","320","NW","10.0","6.2","1019","30.09","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010330Z 32004MPS 9999 -SN SCT007 OVC020 M01/M02 Q1019 R26/290058 NOSIG"
"6:00 AM EET on November 01, 2016","2016","11","01","06","00","Europe/Kiev","4:00 AM GMT on November 01, 2016","2016","11","01","04","00","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","330","NNW","9.0","5.6","1019","30.09","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010400Z 33003MPS 9000 -SN SCT008 BKN022 M01/M02 Q1019 R26/290058 NOSIG"
"6:30 AM EET on November 01, 2016","2016","11","01","06","30","Europe/Kiev","4:30 AM GMT on November 01, 2016","2016","11","01","04","30","UTC","-1.0","30.2","-2.0","28.4","93","10.8","6.7","-9999.0","-9999.0","340","NNW","10.0","6.2","1019","30.09","-4.7","23.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010430Z 34003MPS 320V020 9999 -SN SCT009 BKN025 M01/M02 Q1019 R26/290058 NOSIG"
"7:00 AM EET on November 01, 2016","2016","11","01","07","00","Europe/Kiev","5:00 AM GMT on November 01, 2016","2016","11","01","05","00","UTC","-1.0","30.2","-2.0","28.4","93","14.4","8.9","-9999.0","-9999.0","360","North","10.0","6.2","1020","30.12","-5.5","22.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010500Z 36004MPS 9999 -SN SCT009 OVC026 M01/M02 Q1020 R26/290058 NOSIG"
