"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on October 01, 2016","2016","10","01","00","00","Europe/Kiev","9:00 PM GMT on September 30, 2016","2016","09","30","21","00","UTC","19","66","11","52","51","10.8","6.7","","","260","West","20","12","1016","30.02","-999","-999","-9999","-9999","","","Partly Cloudy","partlycloudy","0","0","0","0","0","0","AAXX 30211 33345 42998 52603 10188 20111 39968 40164 52005 83031 555 10014"
"12:00 AM EEST on October 01, 2016","2016","10","01","00","00","Europe/Kiev","9:00 PM GMT on September 30, 2016","2016","09","30","21","00","UTC","17.0","62.6","11.0","51.8","68","7.2","4.5","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1016","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302100Z 25002MPS CAVOK 17/11 Q1016 R26/CLRD70 NOSIG"
"12:30 AM EEST on October 01, 2016","2016","10","01","00","30","Europe/Kiev","9:30 PM GMT on September 30, 2016","2016","09","30","21","30","UTC","16.0","60.8","11.0","51.8","72","7.2","4.5","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302130Z 25002MPS 220V290 CAVOK 16/11 Q1017 R26/CLRD70 NOSIG"
"1:00 AM EEST on October 01, 2016","2016","10","01","01","00","Europe/Kiev","10:00 PM GMT on September 30, 2016","2016","09","30","22","00","UTC","15.0","59.0","11.0","51.8","77","7.2","4.5","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302200Z 25002MPS CAVOK 15/11 Q1017 R26/CLRD70 NOSIG"
"1:30 AM EEST on October 01, 2016","2016","10","01","01","30","Europe/Kiev","10:30 PM GMT on September 30, 2016","2016","09","30","22","30","UTC","14.0","57.2","11.0","51.8","82","7.2","4.5","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302230Z 26002MPS CAVOK 14/11 Q1017 R26/CLRD70 NOSIG"
"2:00 AM EEST on October 01, 2016","2016","10","01","02","00","Europe/Kiev","11:00 PM GMT on September 30, 2016","2016","09","30","23","00","UTC","14.0","57.2","11.0","51.8","82","7.2","4.5","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302300Z 24002MPS CAVOK 14/11 Q1017 R26/CLRD70 NOSIG"
"2:30 AM EEST on October 01, 2016","2016","10","01","02","30","Europe/Kiev","11:30 PM GMT on September 30, 2016","2016","09","30","23","30","UTC","12.0","53.6","11.0","51.8","94","7.2","4.5","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 302330Z 24002MPS CAVOK 12/11 Q1017 R26/CLRD70 TEMPO 2000 BR"
"3:00 AM EEST on October 01, 2016","2016","10","01","03","00","Europe/Kiev","12:00 AM GMT on October 01, 2016","2016","10","01","00","00","UTC","17","63","10","51","55","7.2","4.5","","","310","NW","20","12","1016","30.02","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01001 33345 32998 03102 10171 20104 39968 40165 54000 555 10013"
"3:00 AM EEST on October 01, 2016","2016","10","01","03","00","Europe/Kiev","12:00 AM GMT on October 01, 2016","2016","10","01","00","00","UTC","11.0","51.8","10.0","50.0","94","7.2","4.5","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 24002MPS CAVOK 11/10 Q1017 R26/CLRD70 TEMPO 2000 BR"
"3:30 AM EEST on October 01, 2016","2016","10","01","03","30","Europe/Kiev","12:30 AM GMT on October 01, 2016","2016","10","01","00","30","UTC","10.0","50.0","9.0","48.2","94","7.2","4.5","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1016","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z 24002MPS CAVOK 10/09 Q1016 R26/CLRD70 TEMPO 2000 BR"
"4:00 AM EEST on October 01, 2016","2016","10","01","04","00","Europe/Kiev","1:00 AM GMT on October 01, 2016","2016","10","01","01","00","UTC","11.0","51.8","9.0","48.2","88","3.6","2.2","-9999.0","-9999.0","200","SSW","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010100Z 20001MPS CAVOK 11/09 Q1017 R08/CLRD70 TEMPO 2000 BR"
"4:30 AM EEST on October 01, 2016","2016","10","01","04","30","Europe/Kiev","1:30 AM GMT on October 01, 2016","2016","10","01","01","30","UTC","10.0","50.0","10.0","50.0","100","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010130Z 00000MPS CAVOK 10/10 Q1017 R08/CLRD70 TEMPO 2000 BR"
"5:00 AM EEST on October 01, 2016","2016","10","01","05","00","Europe/Kiev","2:00 AM GMT on October 01, 2016","2016","10","01","02","00","UTC","9.0","48.2","9.0","48.2","100","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1016","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010200Z 00000MPS CAVOK 09/09 Q1016 R08/CLRD70 TEMPO 2000 BR"
"5:30 AM EEST on October 01, 2016","2016","10","01","05","30","Europe/Kiev","2:30 AM GMT on October 01, 2016","2016","10","01","02","30","UTC","10.0","50.0","10.0","50.0","100","3.6","2.2","-9999.0","-9999.0","250","WSW","9.0","5.6","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Unknown","unknown","0","0","0","0","0","0","METAR UKKK 010230Z 25001MPS 9000 NSC 10/10 Q1017 R08/CLRD70 TEMPO 0400 FG VV001"
"6:00 AM EEST on October 01, 2016","2016","10","01","06","00","Europe/Kiev","3:00 AM GMT on October 01, 2016","2016","10","01","03","00","UTC","14","58","11","51","71","3.6","2.2","","","320","NW","20","12","1017","30.03","-999","-999","-9999","-9999","","","Clear","clear","0","0","0","0","0","0","AAXX 01031 33345 42998 23201 10142 20106 39969 40168 53001 80001 555 10010"
"6:00 AM EEST on October 01, 2016","2016","10","01","06","00","Europe/Kiev","3:00 AM GMT on October 01, 2016","2016","10","01","03","00","UTC","10.0","50.0","9.0","48.2","94","0.0","0.0","-9999.0","-9999.0","0","North","9.0","5.6","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Unknown","unknown","0","0","0","0","0","0","METAR UKKK 010300Z 00000MPS 9000 NSC 10/09 Q1017 R08/CLRD70 TEMPO 0400 FG VV001"
"6:30 AM EEST on October 01, 2016","2016","10","01","06","30","Europe/Kiev","3:30 AM GMT on October 01, 2016","2016","10","01","03","30","UTC","9.0","48.2","9.0","48.2","100","0.0","0.0","-9999.0","-9999.0","0","North","9.0","5.6","1016","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Unknown","unknown","0","0","0","0","0","0","METAR UKKK 010330Z 00000MPS 9000 NSC 09/09 Q1016 R08/CLRD70 TEMPO 0400 FG VV001"
"7:00 AM EEST on October 01, 2016","2016","10","01","07","00","Europe/Kiev","4:00 AM GMT on October 01, 2016","2016","10","01","04","00","UTC","9.0","48.2","9.0","48.2","100","3.6","2.2","-9999.0","-9999.0","210","SSW","7.0","4.3","1016","30.01","-999","-999","-9999","-9999","-9999.00","-9999.00","Shallow Fog","fog","1","0","0","0","0","0","METAR UKKK 010400Z 21001MPS 7000 MIFG NSC 09/09 Q1016 R08/CLRD70 TEMPO 0400 FG VV001"
"7:30 AM EEST on October 01, 2016","2016","10","01","07","30","Europe/Kiev","4:30 AM GMT on October 01, 2016","2016","10","01","04","30","UTC","9.0","48.2","9.0","48.2","100","3.6","2.2","-9999.0","-9999.0","190","South","8.0","5.0","1017","30.04","-999","-999","-9999","-9999","-9999.00","-9999.00","Shallow Fog","fog","1","0","0","0","0","0","METAR UKKK 010430Z 19001MPS 8000 MIFG NSC 09/09 Q1017 R08/CLRD70 TEMPO 0400 FG VV001"
