"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"12:00 AM EEST on September 01, 2016","2016","09","01","00","00","Europe/Kiev","9:00 PM GMT on August 31, 2016","2016","08","31","21","00","UTC","16","60","9","48","55","3.6","2.2","","","340","NNW","20","12","1022","30.19","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 31211 33345 42998 03401 10156 20090 30025 40224 52008 555 10013"
"12:00 AM EEST on September 01, 2016","2016","09","01","00","00","Europe/Kiev","9:00 PM GMT on August 31, 2016","2016","08","31","21","00","UTC","14.0","57.2","10.0","50.0","77","7.2","4.5","-9999.0","-9999.0","270","West","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312100Z 27002MPS CAVOK 14/10 Q1022 R08/CLRD70 NOSIG"
"12:30 AM EEST on September 01, 2016","2016","09","01","00","30","Europe/Kiev","9:30 PM GMT on August 31, 2016","2016","08","31","21","30","UTC","14.0","57.2","9.0","48.2","72","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312130Z VRB01MPS CAVOK 14/09 Q1022 R08/CLRD70 NOSIG"
"1:00 AM EEST on September 01, 2016","2016","09","01","01","00","Europe/Kiev","10:00 PM GMT on August 31, 2016","2016","08","31","22","00","UTC","12.0","53.6","9.0","48.2","82","3.6","2.2","-9999.0","-9999.0","0","Variable","-9999.0","-9999.0","1022","30.18","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312200Z VRB01MPS CAVOK 12/09 Q1022 R08/CLRD70 NOSIG"
"1:30 AM EEST on September 01, 2016","2016","09","01","01","30","Europe/Kiev","10:30 PM GMT on August 31, 2016","2016","08","31","22","30","UTC","12.0","53.6","9.0","48.2","82","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312230Z 00000MPS CAVOK 12/09 Q1023 R08/CLRD70 NOSIG"
"2:00 AM EEST on September 01, 2016","2016","09","01","02","00","Europe/Kiev","11:00 PM GMT on August 31, 2016","2016","08","31","23","00","UTC","10.0","50.0","9.0","48.2","94","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312300Z 00000MPS CAVOK 10/09 Q1023 R08/CLRD70 NOSIG"
"2:30 AM EEST on September 01, 2016","2016","09","01","02","30","Europe/Kiev","11:30 PM GMT on August 31, 2016","2016","08","31","23","30","UTC","10.0","50.0","8.0","46.4","87","3.6","2.2","-9999.0","-9999.0","240","WSW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 312330Z 24001MPS CAVOK 10/08 Q1023 R08/CLRD70 NOSIG"
"3:00 AM EEST on September 01, 2016","2016","09","01","03","00","Europe/Kiev","12:00 AM GMT on September 01, 2016","2016","09","01","00","00","UTC","14","58","9","48","61","3.6","2.2","","","350","North","20","12","1023","30.21","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01001 33345 32998 03501 10144 20089 30030 40230 51005 555 10011"
"3:00 AM EEST on September 01, 2016","2016","09","01","03","00","Europe/Kiev","12:00 AM GMT on September 01, 2016","2016","09","01","00","00","UTC","10.0","50.0","9.0","48.2","94","3.6","2.2","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010000Z 25001MPS CAVOK 10/09 Q1023 R08/CLRD70 NOSIG"
"3:30 AM EEST on September 01, 2016","2016","09","01","03","30","Europe/Kiev","12:30 AM GMT on September 01, 2016","2016","09","01","00","30","UTC","9.0","48.2","9.0","48.2","100","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010030Z 00000MPS CAVOK 09/09 Q1023 R08/CLRD70 NOSIG"
"4:00 AM EEST on September 01, 2016","2016","09","01","04","00","Europe/Kiev","1:00 AM GMT on September 01, 2016","2016","09","01","01","00","UTC","9.0","48.2","8.0","46.4","93","3.6","2.2","-9999.0","-9999.0","260","West","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010100Z 26001MPS CAVOK 09/08 Q1023 R08/CLRD70 NOSIG"
"4:30 AM EEST on September 01, 2016","2016","09","01","04","30","Europe/Kiev","1:30 AM GMT on September 01, 2016","2016","09","01","01","30","UTC","9.0","48.2","9.0","48.2","100","3.6","2.2","-9999.0","-9999.0","250","WSW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010130Z 25001MPS CAVOK 09/09 Q1023 R08/CLRD70 NOSIG"
"5:00 AM EEST on September 01, 2016","2016","09","01","05","00","Europe/Kiev","2:00 AM GMT on September 01, 2016","2016","09","01","02","00","UTC","10.0","50.0","9.0","48.2","94","3.6","2.2","-9999.0","-9999.0","270","West","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010200Z 27001MPS CAVOK 10/09 Q1023 R08/CLRD70 NOSIG"
"5:30 AM EEST on September 01, 2016","2016","09","01","05","30","Europe/Kiev","2:30 AM GMT on September 01, 2016","2016","09","01","02","30","UTC","9.0","48.2","8.0","46.4","93","3.6","2.2","-9999.0","-9999.0","230","SW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010230Z 23001MPS CAVOK 09/08 Q1023 R08/CLRD70 NOSIG"
"6:00 AM EEST on September 01, 2016","2016","09","01","06","00","Europe/Kiev","3:00 AM GMT on September 01, 2016","2016","09","01","03","00","UTC","13","56","10","50","73","3.6","2.2","","","320","NW","20","12","1023","30.22","-999","-999","-9999","-9999","","","","","0","0","0","0","0","0","AAXX 01031 33345 42998 03201 10133 20098 30032 40233 53002 555 10010"
"6:00 AM EEST on September 01, 2016","2016","09","01","06","00","Europe/Kiev","3:00 AM GMT on September 01, 2016","2016","09","01","03","00","UTC","9.0","48.2","8.0","46.4","93","3.6","2.2","-9999.0","-9999.0","230","SW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010300Z 23001MPS CAVOK 09/08 Q1023 R08/CLRD70 NOSIG"
"6:30 AM EEST on September 01, 2016","2016","09","01","06","30","Europe/Kiev","3:30 AM GMT on September 01, 2016","2016","09","01","03","30","UTC","8.0","46.4","8.0","46.4","100","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010330Z 00000MPS CAVOK 08/08 Q1023 R08/CLRD70 NOSIG"
"7:00 AM EEST on September 01, 2016","2016","09","01","07","00","Europe/Kiev","4:00 AM GMT on September 01, 2016","2016","09","01","04","00","UTC","10.0","50.0","9.0","48.2","94","0.0","0.0","-9999.0","-9999.0","0","North","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010400Z 00000MPS CAVOK 10/09 Q1023 R08/CLRD70 NOSIG"
"7:30 AM EEST on September 01, 2016","2016","09","01","07","30","Europe/Kiev","4:30 AM GMT on September 01, 2016","2016","09","01","04","30","UTC","12.0","53.6","10.0","50.0","88","3.6","2.2","-9999.0","-9999.0","230","SW","-9999.0","-9999.0","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010430Z 23001MPS CAVOK 12/10 Q1023 R08/CLRD70 NOSIG"
"8:00 AM EEST on September 01, 2016","2016","09","01","08","00","Europe/Kiev","5:00 AM GMT on September 01, 2016","2016","09","01","05","00","UTC","14.0","57.2","11.0","51.8","82","3.6","2.2","-9999.0","-9999.0","0","Variable","9.0","5.6","1023","30.21","-999","-999","-9999","-9999","-9999.00","-9999.00","Clear","clear","0","0","0","0","0","0","METAR UKKK 010500Z VRB01MPS 9000 SKC 14/11 Q1023 R08/CLRD70 NOSIG"
